Juego{Nombre='Sunset Overdriv', Plataforma='XONE           ', Desarrollador='Insomniac Games', Género='General        ', Número de Jugadores='Up to 8        ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Oct 28, 2014', Críticas Positivas=72, Críticas Neutrales=17, Críticas Negativas=0, Reseñas Positivas=249, Reseñas Neutrales=41, Reseñas Negativas=24, Meta Score=81.0, User Score=78.0}
Juego{Nombre='DG2: Defense Gr', Plataforma='PC             ', Desarrollador='Hidden Path Ent', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Sep 23, 2014', Críticas Positivas=19, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=10, Reseñas Neutrales=5, Reseñas Negativas=7, Meta Score=81.0, User Score=68.0}
Juego{Nombre='Shadowrun: Drag', Plataforma='PC             ', Desarrollador='Harebrained Sch', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb 27, 2014', Críticas Positivas=20, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=31, Reseñas Neutrales=7, Reseñas Negativas=3, Meta Score=81.0, User Score=82.0}
Juego{Nombre='Luftrausers    ', Plataforma='PC             ', Desarrollador='Vlambeer       ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar 18, 2014', Críticas Positivas=35, Críticas Neutrales=10, Críticas Negativas=0, Reseñas Positivas=5, Reseñas Neutrales=7, Reseñas Negativas=0, Meta Score=80.0, User Score=68.0}
Juego{Nombre='Kirby: Triple D', Plataforma='3DS            ', Desarrollador='HAL Labs       ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='E              ', Fecha de Lanzamiento='May  2, 2014', Críticas Positivas=54, Críticas Neutrales=14, Críticas Negativas=0, Reseñas Positivas=54, Reseñas Neutrales=5, Reseñas Negativas=0, Meta Score=80.0, User Score=87.0}
Juego{Nombre='Wolfenstein: Th', Plataforma='PS4            ', Desarrollador='MachineGames   ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 20, 2014', Críticas Positivas=60, Críticas Neutrales=13, Críticas Negativas=0, Reseñas Positivas=215, Reseñas Neutrales=31, Reseñas Negativas=16, Meta Score=79.0, User Score=81.0}
Juego{Nombre='Professor Layto', Plataforma='3DS            ', Desarrollador='Level 5        ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Aug 29, 2014', Críticas Positivas=55, Críticas Neutrales=13, Críticas Negativas=1, Reseñas Positivas=13, Reseñas Neutrales=6, Reseñas Negativas=0, Meta Score=79.0, User Score=83.0}
Juego{Nombre='Wolfenstein: Th', Plataforma='XONE           ', Desarrollador='MachineGames   ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='M              ', Fecha de Lanzamiento='May 20, 2014', Críticas Positivas=15, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=77, Reseñas Neutrales=13, Reseñas Negativas=3, Meta Score=79.0, User Score=78.0}
Juego{Nombre='Scram Kitty and', Plataforma='WIIU           ', Desarrollador='Dakko Dakko    ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='May 15, 2014', Críticas Positivas=17, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=4, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=79.0, User Score=77.0}
Juego{Nombre='The Walking Dea', Plataforma='PC             ', Desarrollador='Telltale Games ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Aug 26, 2014', Críticas Positivas=27, Críticas Neutrales=13, Críticas Negativas=0, Reseñas Positivas=45, Reseñas Neutrales=6, Reseñas Negativas=3, Meta Score=78.0, User Score=84.0}
Juego{Nombre='The Walking Dea', Plataforma='PC             ', Desarrollador='Telltale Games ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Jul 22, 2014', Críticas Positivas=28, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=5, Reseñas Negativas=0, Meta Score=78.0, User Score=81.0}
Juego{Nombre='Plants vs Zombi', Plataforma='PC             ', Desarrollador='PopCap         ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Jun 24, 2014', Críticas Positivas=9, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=21, Reseñas Neutrales=8, Reseñas Negativas=10, Meta Score=78.0, User Score=77.0}
Juego{Nombre='Plants vs Zombi', Plataforma='XONE           ', Desarrollador='PopCap         ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Feb 25, 2014', Críticas Positivas=44, Críticas Neutrales=21, Críticas Negativas=0, Reseñas Positivas=85, Reseñas Neutrales=11, Reseñas Negativas=6, Meta Score=76.0, User Score=75.0}
Juego{Nombre='Hohokum        ', Plataforma='PS4            ', Desarrollador='Honeyslug Ltd  ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Aug 12, 2014', Críticas Positivas=29, Críticas Neutrales=28, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=3, Reseñas Negativas=3, Meta Score=75.0, User Score=63.0}
Juego{Nombre='Jazzpunk       ', Plataforma='PC             ', Desarrollador='Necrophone     ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb  7, 2014', Críticas Positivas=25, Críticas Neutrales=17, Críticas Negativas=1, Reseñas Positivas=20, Reseñas Neutrales=9, Reseñas Negativas=2, Meta Score=75.0, User Score=77.0}
Juego{Nombre='Project Spark  ', Plataforma='XONE           ', Desarrollador='Microsoft Game ', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Mar  4, 2014', Críticas Positivas=17, Críticas Neutrales=9, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=9, Reseñas Negativas=6, Meta Score=73.0, User Score=69.0}
Juego{Nombre='Strike Vector  ', Plataforma='PC             ', Desarrollador='Strike Vector T', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jan 28, 2014', Críticas Positivas=11, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=14, Reseñas Neutrales=0, Reseñas Negativas=2, Meta Score=73.0, User Score=77.0}
Juego{Nombre='Banished       ', Plataforma='PC             ', Desarrollador='Shining Rock So', Género='General        ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb 18, 2014', Críticas Positivas=17, Críticas Neutrales=14, Críticas Negativas=1, Reseñas Positivas=106, Reseñas Neutrales=47, Reseñas Negativas=13, Meta Score=73.0, User Score=81.0}
Juego{Nombre='Always Sometime', Plataforma='PC             ', Desarrollador='Vagabond Dog   ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='May 21, 2014', Críticas Positivas=14, Críticas Neutrales=11, Críticas Negativas=1, Reseñas Positivas=5, Reseñas Neutrales=9, Reseñas Negativas=0, Meta Score=73.0, User Score=72.0}
Juego{Nombre='Gigantic Army  ', Plataforma='PC             ', Desarrollador='Astro Port     ', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Feb  5, 2014', Críticas Positivas=3, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=3, Reseñas Negativas=0, Meta Score=73.0, User Score=64.0}
Juego{Nombre='MouseCraft     ', Plataforma='PC             ', Desarrollador='Crunching Koala', Género='General        ', Número de Jugadores='No Online Multi', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jul  8, 2014', Críticas Positivas=8, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=2, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=72.0, User Score=68.0}
