Juego{Nombre='DiRT 4         ', Plataforma='PS4            ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jun  6, 2017', Críticas Positivas=41, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=18, Reseñas Neutrales=4, Reseñas Negativas=7, Meta Score=85.0, User Score=75.0}
Juego{Nombre='Project CARS 2 ', Plataforma='XONE           ', Desarrollador='Bandai Namco Ga', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 22, 2017', Críticas Positivas=21, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=6, Reseñas Neutrales=1, Reseñas Negativas=7, Meta Score=84.0, User Score=56.0}
Juego{Nombre='F1 2017        ', Plataforma='XONE           ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 25, 2017', Críticas Positivas=16, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=4, Reseñas Neutrales=1, Reseñas Negativas=2, Meta Score=84.0, User Score=72.0}
Juego{Nombre='Project CARS 2 ', Plataforma='PC             ', Desarrollador='Slightly Mad St', Género='Racing         ', Número de Jugadores='Online Multipla', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 21, 2017', Críticas Positivas=22, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=20, Reseñas Neutrales=4, Reseñas Negativas=9, Meta Score=84.0, User Score=71.0}
Juego{Nombre='Project CARS 2 ', Plataforma='PS4            ', Desarrollador='Bandai Namco Ga', Género='Racing         ', Número de Jugadores='Up to 16       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 22, 2017', Críticas Positivas=37, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=20, Reseñas Neutrales=7, Reseñas Negativas=19, Meta Score=82.0, User Score=61.0}
Juego{Nombre='Forza Motorspor', Plataforma='PC             ', Desarrollador='Turn 10        ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct  3, 2017', Críticas Positivas=13, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=7, Reseñas Negativas=34, Meta Score=82.0, User Score=43.0}
Juego{Nombre='Fast RMX       ', Plataforma='Switch         ', Desarrollador=''Shin''en'     ', Género='Racing         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Mar  3, 2017', Críticas Positivas=46, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=56, Reseñas Neutrales=12, Reseñas Negativas=5, Meta Score=81.0, User Score=79.0}
Juego{Nombre='Redout         ', Plataforma='PS4            ', Desarrollador='505 Games      ', Género='Racing         ', Número de Jugadores='Up to 6        ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Aug 29, 2017', Críticas Positivas=9, Críticas Neutrales=2, Críticas Negativas=0, Reseñas Positivas=5, Reseñas Neutrales=1, Reseñas Negativas=0, Meta Score=81.0, User Score=74.0}
Juego{Nombre='DiRT 4         ', Plataforma='PC             ', Desarrollador='Codemasters    ', Género='Racing         ', Número de Jugadores='Online Multipla', Clasificación de Edad='T              ', Fecha de Lanzamiento='Jun  8, 2017', Críticas Positivas=11, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=3, Reseñas Neutrales=5, Reseñas Negativas=8, Meta Score=78.0, User Score=59.0}
Juego{Nombre='Mantis Burn Rac', Plataforma='Switch         ', Desarrollador='VooFoo Studios ', Género='Racing         ', Número de Jugadores='Up to 8        ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Nov 23, 2017', Críticas Positivas=7, Críticas Neutrales=2, Críticas Negativas=1, Reseñas Positivas=3, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=77.0, User Score=78.0}
