Juego{Nombre='Edge (2011)    ', Plataforma='PC             ', Desarrollador='Two Tribes, Mob', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='               ', Fecha de Lanzamiento='Aug 11, 2011', Críticas Positivas=6, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=6, Reseñas Neutrales=5, Reseñas Negativas=0, Meta Score=74.0, User Score=75.0}
Juego{Nombre='Warhammer 40,00', Plataforma='PC             ', Desarrollador='Relic          ', Género='Action         ', Número de Jugadores='16  Online     ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Sep  5, 2011', Críticas Positivas=20, Críticas Neutrales=14, Críticas Negativas=0, Reseñas Positivas=127, Reseñas Neutrales=46, Reseñas Negativas=21, Meta Score=74.0, User Score=75.0}
Juego{Nombre='Rock of Ages   ', Plataforma='PC             ', Desarrollador='ACE Team       ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='Sep  7, 2011', Críticas Positivas=9, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=15, Reseñas Neutrales=12, Reseñas Negativas=2, Meta Score=74.0, User Score=77.0}
Juego{Nombre='Hector: Badge o', Plataforma='PC             ', Desarrollador='Straandlooper  ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Aug 25, 2011', Críticas Positivas=8, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=73.0, User Score=66.0}
Juego{Nombre='Hard Reset     ', Plataforma='PC             ', Desarrollador='Flying Wild Hog', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Sep 13, 2011', Críticas Positivas=28, Críticas Neutrales=20, Críticas Negativas=1, Reseñas Positivas=59, Reseñas Neutrales=35, Reseñas Negativas=16, Meta Score=73.0, User Score=73.0}
Juego{Nombre='Solar 2        ', Plataforma='PC             ', Desarrollador='Murudai        ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Jun 17, 2011', Críticas Positivas=6, Críticas Neutrales=1, Críticas Negativas=1, Reseñas Positivas=5, Reseñas Neutrales=11, Reseñas Negativas=4, Meta Score=72.0, User Score=71.0}
Juego{Nombre='Serious Sam 3: ', Plataforma='PC             ', Desarrollador='Croteam        ', Género='Action         ', Número de Jugadores='1 Player       ', Clasificación de Edad='               ', Fecha de Lanzamiento='Nov 22, 2011', Críticas Positivas=27, Críticas Neutrales=26, Críticas Negativas=0, Reseñas Positivas=170, Reseñas Neutrales=28, Reseñas Negativas=7, Meta Score=72.0, User Score=82.0}
Juego{Nombre='Blocks That Mat', Plataforma='PC             ', Desarrollador='Swing Swing Sub', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Aug 19, 2011', Críticas Positivas=5, Críticas Neutrales=3, Críticas Negativas=0, Reseñas Positivas=9, Reseñas Neutrales=7, Reseñas Negativas=1, Meta Score=72.0, User Score=73.0}
Juego{Nombre='WWE All Stars  ', Plataforma='3DS            ', Desarrollador='THQ            ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 22, 2011', Críticas Positivas=4, Críticas Neutrales=8, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=2, Reseñas Negativas=1, Meta Score=71.0, User Score=69.0}
Juego{Nombre='Nuclear Dawn   ', Plataforma='PC             ', Desarrollador='Interwave Studi', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Sep 22, 2011', Críticas Positivas=10, Críticas Neutrales=13, Críticas Negativas=2, Reseñas Positivas=42, Reseñas Neutrales=9, Reseñas Negativas=9, Meta Score=71.0, User Score=76.0}
Juego{Nombre='Ace Combat: Ass', Plataforma='3DS            ', Desarrollador='Project Aces   ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 15, 2011', Críticas Positivas=15, Críticas Neutrales=20, Críticas Negativas=2, Reseñas Positivas=5, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=71.0, User Score=78.0}
Juego{Nombre='Hector: Badge o', Plataforma='PC             ', Desarrollador='Straandlooper  ', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Sep 22, 2011', Críticas Positivas=4, Críticas Neutrales=7, Críticas Negativas=0, Reseñas Positivas=1, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=70.0, User Score=75.0}
Juego{Nombre='Sanctum (2011) ', Plataforma='PC             ', Desarrollador='Coffee Stain St', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr 15, 2011', Críticas Positivas=11, Críticas Neutrales=11, Críticas Negativas=0, Reseñas Positivas=46, Reseñas Neutrales=16, Reseñas Negativas=12, Meta Score=70.0, User Score=67.0}
Juego{Nombre='Brink          ', Plataforma='PC             ', Desarrollador='Splash Damage  ', Género='Action         ', Número de Jugadores='16  Online     ', Clasificación de Edad='T              ', Fecha de Lanzamiento='May  9, 2011', Críticas Positivas=17, Críticas Neutrales=19, Críticas Negativas=2, Reseñas Positivas=135, Reseñas Neutrales=62, Reseñas Negativas=80, Meta Score=70.0, User Score=60.0}
Juego{Nombre='Before the Echo', Plataforma='PC             ', Desarrollador='Iridium Studios', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Oct 20, 2011', Críticas Positivas=3, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=17, Reseñas Neutrales=8, Reseñas Negativas=3, Meta Score=70.0, User Score=74.0}
Juego{Nombre='Homefront      ', Plataforma='PC             ', Desarrollador='Digital Extreme', Género='Action         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='M              ', Fecha de Lanzamiento='Mar 14, 2011', Críticas Positivas=13, Críticas Neutrales=20, Críticas Negativas=3, Reseñas Positivas=68, Reseñas Neutrales=65, Reseñas Negativas=86, Meta Score=70.0, User Score=55.0}
Juego{Nombre='Shinobi        ', Plataforma='3DS            ', Desarrollador='Griptonite Game', Género='Action         ', Número de Jugadores='No Online Multi', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 15, 2011', Críticas Positivas=18, Críticas Neutrales=13, Críticas Negativas=2, Reseñas Positivas=8, Reseñas Neutrales=5, Reseñas Negativas=0, Meta Score=69.0, User Score=74.0}
