Juego{Nombre='Speedball 2 HD ', Plataforma='PC             ', Desarrollador='Vivid Games    ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Dec  5, 2013', Críticas Positivas=0, Críticas Neutrales=7, Críticas Negativas=3, Reseñas Positivas=0, Reseñas Neutrales=1, Reseñas Negativas=4, Meta Score=53.0, User Score=38.0}
Juego{Nombre='Lords of Footba', Plataforma='PC             ', Desarrollador='Geniaware      ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr  5, 2013', Críticas Positivas=0, Críticas Neutrales=9, Críticas Negativas=4, Reseñas Positivas=12, Reseñas Neutrales=5, Reseñas Negativas=4, Meta Score=52.0, User Score=64.0}
Juego{Nombre='Lets Fish! Hook', Plataforma='VITA           ', Desarrollador='SIMS           ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Jan 29, 2013', Críticas Positivas=0, Críticas Neutrales=4, Críticas Negativas=7, Reseñas Positivas=0, Reseñas Neutrales=0, Reseñas Negativas=0, Meta Score=41.0, User Score=65.0}
Juego{Nombre='Fighter Within ', Plataforma='XONE           ', Desarrollador='Ubisoft        ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='T              ', Fecha de Lanzamiento='Nov 19, 2013', Críticas Positivas=0, Críticas Neutrales=1, Críticas Negativas=38, Reseñas Positivas=3, Reseñas Neutrales=4, Reseñas Negativas=13, Meta Score=23.0, User Score=28.0}
Juego{Nombre='Out of the Park', Plataforma='PC             ', Desarrollador='               ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='               ', Fecha de Lanzamiento='Apr 21, 2014', Críticas Positivas=8, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=14, Reseñas Neutrales=0, Reseñas Negativas=1, Meta Score=89.0, User Score=72.0}
Juego{Nombre='MLB 14: The Sho', Plataforma='PS4            ', Desarrollador='SCEA San Diego ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='May  6, 2014', Críticas Positivas=17, Críticas Neutrales=0, Críticas Negativas=0, Reseñas Positivas=30, Reseñas Neutrales=7, Reseñas Negativas=5, Meta Score=83.0, User Score=76.0}
Juego{Nombre='NBA 2K15       ', Plataforma='PS4            ', Desarrollador='Visual Concepts', Género='Sports         ', Número de Jugadores='Up to 10       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct  7, 2014', Críticas Positivas=45, Críticas Neutrales=5, Críticas Negativas=0, Reseñas Positivas=43, Reseñas Neutrales=19, Reseñas Negativas=21, Meta Score=83.0, User Score=69.0}
Juego{Nombre='FIFA 15        ', Plataforma='XONE           ', Desarrollador='EA Sports      ', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Sep 23, 2014', Críticas Positivas=27, Críticas Neutrales=6, Críticas Negativas=0, Reseñas Positivas=21, Reseñas Neutrales=26, Reseñas Negativas=45, Meta Score=82.0, User Score=54.0}
Juego{Nombre='Sportsfriends  ', Plataforma='PS4            ', Desarrollador='Die Gute Fabrik', Género='Sports         ', Número de Jugadores='Desconocido    ', Clasificación de Edad='E10+           ', Fecha de Lanzamiento='May  6, 2014', Críticas Positivas=17, Críticas Neutrales=4, Críticas Negativas=0, Reseñas Positivas=4, Reseñas Neutrales=2, Reseñas Negativas=2, Meta Score=82.0, User Score=63.0}
Juego{Nombre='NBA 2K15       ', Plataforma='XONE           ', Desarrollador='Visual Concepts', Género='Sports         ', Número de Jugadores='Up to 10       ', Clasificación de Edad='E              ', Fecha de Lanzamiento='Oct  7, 2014', Críticas Positivas=8, Críticas Neutrales=1, Críticas Negativas=0, Reseñas Positivas=16, Reseñas Neutrales=3, Reseñas Negativas=18, Meta Score=82.0, User Score=62.0}
